NOMBRE,CODIGO,MUNICIPIO,CORRIENTE,ALTITUD_msnm,INICIO,FIN,N_MESES,ESTADO
HERRERAS LAS,21080100,TERUEL,STA MARIA,1800.0,1975,2017,472,Activa
MINA LA,21080080,TERUEL,PEDERNAL,1800.0,1975,2017,496,Activa
OPORAPA,21040030,OPORAPA,MAGDALENA,1614.0,1975,2017,502,Activa
PRAGA,21130110,AIPE,AIPE,1085.0,1975,2017,491,Activa
SAN VICENTE,21050160,LA PLATA,LA PLATA,1745.0,1975,2017,485,Activa
VILLA FATIMA,21010160,SAN AGUSTÍN,MULALES,1724.0,1975,2017,489,Activa
YARUMAL,21050170,NÁTAGA,NEGRO,1950.0,1975,2017,493,Activa
ARCADIA LA,21100140,ALGECIRAS,BLANCO,1380.0,1976,2017,422,Activa
ARMENIA LA,21080090,TERUEL,PEDERNAL,2700.0,1976,1994,192,SUS
NUEVO PARAISO,21100080,ALGECIRAS,NEIVA,1525.0,1976,2017,485,Activa
PALCO EL,21100120,CAMPOALEGRE,MAGDALENA,880.0,1976,2002,228,SUS
VOLCAN EL,21120100,PALERMO,BACHE,1105.0,1976,2017,483,Activa
LIBANO EL,21140130,COLOMBIA,CABRERA,2000.0,1977,2016,383,Activa
TOMO EL,21140110,VILLAVIEJA,CABRERA,444.0,1977,2017,463,Activa
BOCA LA,21115120,VILLAVIEJA,MAGDALENA,430.0,1978,1988,126,SUS
CASA BOMBAS 2,21090120,PALERMO,QDA SARDINATA,455.0,1979,2002,270,SUS
CRISTALINA  LA HDA,21060100,GIGANTE,QDA GUANDINOSA,1460.0,1979,2017,420,Activa
MANGA LA HDA,21130170,AIPE,AIPE,450.0,1979,1992,130,SUS
PAEZ PAICOL RADIO,21050150,PAICOL,PAEZ,788.0,1979,2017,461,Activa
POTOSI HDA,21100100,CAMPOALEGRE,MAGDALENA,680.0,1979,1987,96,SUS
PTE BALSEADERO RAD,21040040,AGRADO,MAGDALENA,688.0,1979,2017,440,Activa
PTE SALADOBLANCO R,21020050,ELÍAS,MAGDALENA,1046.0,1979,2017,452,Activa
SINAI HDA,21110310,VILLAVIEJA,MAGDALENA,400.0,1979,2002,264,SUS
STO DOMINGO D C,21140140,BARAYA,VENADO,1300.0,1979,1986,80,SUS
ALTO DEL OBISPO,21010190,SAN AGUSTÍN,NARANJO,1700.0,1980,2017,429,Activa
HORNITOS,21010250,ISNOS,BORDONES,2000.0,1980,2017,436,Activa
MEREMBERG HDA,21050190,LA PLATA,AGUACATAL,2220.0,1980,2017,444,Activa
MONTECRISTO,21010210,PITALITO,GUARAPAS,1674.0,1980,2017,432,Activa
MORELIA,21010220,SALADOBLANCO,GRANATES,1625.0,1980,2017,440,Activa
RIOLORO,21060110,GIGANTE,LORO,721.0,1980,2017,438,Activa
RIONEGRO HDA,21120130,PALERMO,BACHE,560.0,1980,2013,371,Activa
SAN ANTONIO DEL PE,21030110,GARZÓN,SUAZA,1190.0,1980,2017,434,Activa
STA ROSA HDA,21080070,YAGUARÁ,YAGUARA,650.0,1980,2017,436,Activa
SULCHOMISCO,21010200,SAN AGUSTÍN,MAGDALENA,1800.0,1980,2017,435,Activa
TABOR EL,21010180,PALESTINA,GUARAPAS,1700.0,1980,2017,398,Activa
TARQUI,21040050,TARQUI,MAGDALENA,830.0,1980,2017,433,Activa
TRES ESQUINAS,21040060,PITAL,MAGDALENA,805.0,1980,2017,426,Activa
VISO EL,21020040,ELÍAS,MAGDALENA,1017.0,1980,2017,437,Activa
BETANIA TV,21010230,SAN AGUSTÍN,NARANJO,1949.0,1981,2017,437,Activa
